"tick","message_propagation"
96.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
97.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
98.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
99.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
100.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=1, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
101.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=4, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
102.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=11, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
103.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=29, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
104.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=49, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
105.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=65, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
106.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=74, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=81, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
107.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=81, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=84, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
108.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=84, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=89, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
109.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=96, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
110.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=99, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
111.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
112.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
113.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
114.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
115.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
116.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
117.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
118.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
119.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
120.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100, f2a97808-c201-4ae3-bebd-2c982af6bd0f=1}"
121.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100, f2a97808-c201-4ae3-bebd-2c982af6bd0f=4}"
122.0,"{d8d4e9e9-0605-4d0b-b3d8-15c589b002cf=85, 8c30db8e-1c1a-46d8-b24b-5e634efbfc99=100, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100, f2a97808-c201-4ae3-bebd-2c982af6bd0f=11}"
